"Name","House","Expansion – #","Aerc Score","Amber Control","Expected Amber","Aember Protection","Artifact Control","Creature Control","Effective Power","Efficiency","Disruption","House Cheating","Other","Raw Amber","Power","Armor","Wins","Losses","SAS traits","Synergies","Traits","Text","Flavor Text"
"Storm Crawler","Mars","AGE_OF_ASCENSION – 189","1.3","0","0","0","0","0.5","4","0","0","0","0","0","6","1","3781","4167","","","Robot","Storm Crawler only deals 1D when fighting.After an enemy creature reaps, stun it.",""
"Blypyp","Mars","CALL_OF_THE_ARCHONS – 190","0.8500000000000001","0","0.25","0","0","0","2","0","0","0","0","0","2","0","6521","6674","[object Object] | [object Object]","protectsCreatures – 1 – anyHouse | highCreatureCount – 1 – house | lowCreatureCount – -2 – house","Martian,Scientist","Reap: The next Mars creature you play this turn enters play ready.","“Soooon…”"
"Uxlyx the Zookeeper","Mars","CALL_OF_THE_ARCHONS – 201 | AGE_OF_ASCENSION – 190","1.7999999999999998","0","0","0","0","1","4","0","0","0","0","0","2","0","11259","11641","[object Object] | [object Object] | [object Object]","readiesCreatures – 2 – house | protectsCreatures – 1 – anyHouse | archives – -3 – anyHouse","Martian,Scientist","Elusive. (The first time this creature is attacked each turn, no damage is dealt.)Reap: Put an enemy creature into your archives. If that creature leaves your archives, it is put into its owner’s hand instead.",""
"Chuff Ape","Mars","CALL_OF_THE_ARCHONS – 191","1.7000000000000002","0","0","0","0","0","13","0","0","0","0","0","11","0","2305","2362","[object Object]","","Beast","Taunt. (This creature’s neighbors cannot be attacked unless they have taunt.)Chuff Ape enters play stunned.Fight/Reap: You may sacrifice another friendly creature. If you do, fully heal Chuff Ape.",""
"Ether Spider","Mars","CALL_OF_THE_ARCHONS – 192","1.7999999999999998","1","0","0","0","0","4","0","0","0","0","0","7","0","6607","6576","[object Object] | [object Object]","","Beast","Ether Spider deals no damage when fighting.Each <A> that would be added to your opponent’s pool is captured by Ether Spider instead.",""
"Custom Virus","Mars","CALL_OF_THE_ARCHONS – 183 | AGE_OF_ASCENSION – 193","2","0","1","0","0","1","0","0","0","0","0","1","0","0","3153","3115","[object Object] | [object Object] | [object Object]","","Weapon","Omni: Sacrifice Custom Virus. Purge a creature from your hand. Destroy each creature that shares a trait with the purged creature.",""
"Grabber Jammer","Mars","CALL_OF_THE_ARCHONS – 193","2.4","1.5","0","0","0","0","5","0","0","0","0","0","4","1","22688","21330","[object Object] | [object Object]","","Robot","Your opponent’s keys cost +1<A>.Fight/Reap: Capture 1<A>.","“Mine!”"
"Destructive Analysis","Mars","AGE_OF_ASCENSION – 194","2.25","0","1","0","0","1","0","0.25","0","0","0","1","0","0","1227","1279","[object Object]","archivesRandom – 3 – anyHouse | archives – 1 – anyHouse","","Play: Deal 2D to a creature. You may purge any number of cards from your archives to deal an additional 2D to the same creature for each card purged this way.",""
"Entropic Manipulator","Mars","AGE_OF_ASCENSION – 195","1.5","0","1","0","0","0.5","0","0","0","0","0","1","0","0","1261","1378","[object Object]","highTotalArmor – 2 – anyHouse","","Play: Choose a player. You may redistribute the damage on the creatures that player controls among that player’s creatures. (You may cause more damage to a creature than it has power.)",""
"“John Smyth”","Mars","CALL_OF_THE_ARCHONS – 195","1.7999999999999998","0","1","0","0","0","4","0","0","0","0","0","2","0","20086","20352","[object Object] | [object Object] | [object Object]","readiesCreatures – 2 – house | protectsCreatures – 1 – anyHouse | highCreatureCount – 1 – anyHouse | lowCreatureCount – -3 – house","Agent,Martian","Elusive. (The first time this creature is attacked each turn, no damage is dealt.)Fight/Reap: Ready a non-Agent Mars creature.",""
"Extinction","Mars","AGE_OF_ASCENSION – 196","1","0","0","0","0","1.5","0","-0.5","0","0","0","0","0","0","1301","1374","[object Object]","lowCreatureCount – 2 – anyHouse | highCreatureCount – -2 – anyHouse","","Play: Choose a creature. Destroy that creature and each creature that shares a trait with it. Gain 1 chain.",""
"Grommid","Mars","CALL_OF_THE_ARCHONS – 194 | AGE_OF_ASCENSION – 197","0.4","0","0","0","0","0","5","-0.5","0","0","0","0","10","0","2610","2946","","lowCreatureCount – 2 – anyHouse","Beast","You cannot play creatures.After an enemy creature is destroyed fighting Grommid, your opponent loses 1A.",""
"Phylyx the Disintegrator","Mars","CALL_OF_THE_ARCHONS – 197","1.6","1","0","0","0","0","2","0","0","0","0","0","1","0","2283","2245","[object Object] | [object Object]","highTotalCreaturePower – 3 – house | readiesCreatures – 2 – house | lowCreatureCount – -2 – house","Soldier,Martian","Elusive. (The first time this creature is attacked each turn, no damage is dealt.)Action: Your opponent loses 1<A> for each other friendly Mars creature.",""
"Hypnotic Command","Mars","CALL_OF_THE_ARCHONS – 164 | AGE_OF_ASCENSION – 198","3.5","1.75","1.75","0","0","0","0","0","0","0","0","0","0","0","4249","3678","[object Object]","highCreatureCount – 3 – house | lowCreatureCount – -3 – house","","Play: For each friendly Mars creature, choose an enemy creature to capture 1A from their own side.",""
"Incubation Chamber","Mars","CALL_OF_THE_ARCHONS – 186 | AGE_OF_ASCENSION – 199","1.5","0","0","0","0","0","0","1.5","0","0","0","0","0","0","3394","3429","[object Object] | [object Object]","highCreatureCount – 2 – house | lowCreatureCount – -2 – house","Location","Omni: Reveal a Mars creature from your hand. If you do, archive it.","Most Martians on the Crucible cameout of one of these tanks."
"Tunk","Mars","CALL_OF_THE_ARCHONS – 199","1.6","0","0","0","0","0","12","0","0","0","0","0","6","1","18568","18603","","highCreatureCount – 2 – house | damagesFriendlyCreatures – 1 – anyHouse","Robot","After you play another Mars creature, fully heal Tunk.","“Who’s driving?” “I thought you were.”“Let’s…not tell the Elders.” "
"Invasion Portal","Mars","CALL_OF_THE_ARCHONS – 185 | AGE_OF_ASCENSION – 200","1.5","0","0","0","0","0","0","1.5","0","0","0","0","0","0","3346","3506","[object Object] | [object Object]","","Location","Action: Discard cards from the top of your deck until you discard a Mars creature or run out of cards. If you discard a Mars creature this way, put it into your hand.",""
"Ulyq Megamouth","Mars","CALL_OF_THE_ARCHONS – 200","1.2000000000000002","0","0","0","0","0","3","0","0","0.5","0","0","3","0","18429","18592","[object Object] | [object Object]","readiesCreatures – 2 – house | goodReap – 2 – outOfHouse | goodAction – 2 – outOfHouse | protectsCreatures – 1 – anyHouse","Martian,Scientist","Fight/Reap: Use a friendly non-Mars creature.","“GLORY BE TO MARS!” "
"Killzord mk. 9001","Mars","AGE_OF_ASCENSION – 201","0.6","0","0","0","0","0","6","0","0","0","0","0","0","0","1205","1403","[object Object] | [object Object] | [object Object]","","","This creature gets +2 armor and +2 power.This creature gains skirmish and, “Fight: Gain 1 chain.”",""
"Martian Generosity","Mars","AGE_OF_ASCENSION – 202","3","0","0","0","0","0","0","3","0","0","0","1","0","0","2226","1915","[object Object]","highExpectedAmber – 2 – anyHouse","","Play: Lose all of your A. Draw 2 cards for each A lost.","“F-f-forgive me; I misspoke! Thirty—no, forty—percent discount!”"
"Vezyma Thinkdrone","Mars","CALL_OF_THE_ARCHONS – 202 | AGE_OF_ASCENSION – 172","0.9500000000000001","0","0","0","0","0","3","0.25","0","0","0","0","3","0","26242","28123","","goodPlay – 2 – anyHouse","Martian,Scientist","Reap: You may archive a friendly creature or artifact from play.","Nothing helps me think like wanton destruction."
"Martian Hounds","Mars","CALL_OF_THE_ARCHONS – 167 | AGE_OF_ASCENSION – 203","0.2","0","0","0","0","0","2","0","0","0","0","0","0","0","2666","3010","","damagesMultipleEnemies – 2 – anyHouse | dealsDamage – 1 – anyHouse","","Play: Choose a creature. For each damaged creature, give the chosen creature two +1 power counters.","Who let the... dogs?... out?"
"Yxili Marauder","Mars","CALL_OF_THE_ARCHONS – 203","0.9500000000000001","0.25","0","0","0","0","3","0","0","0","0","0","2","0","15789","17367","[object Object]","highTotalCreaturePower – 1 – house | readiesCreatures – 1 – house","Soldier,Martian","Yxili Marauder gets +1 power for each <A> on it.Play: Capture 1<A> for each friendly ready Mars creature.",""
"Qyxxlyx Plague Master","Mars","CALL_OF_THE_ARCHONS – 198 | AGE_OF_ASCENSION – 204","1.2000000000000002","0","0","0","0","0.5","3","0","0","0","0","0","3","0","3162","3072","","human – -2 – anyHouse","Martian,Scientist","Fight/Reap: Deal 3D to each Human creature. This damage cannot be prevented by armor.",""
"Yxilo Bolter","Mars","CALL_OF_THE_ARCHONS – 204","1.2000000000000002","0","0","0","0","0.5","3","0","0","0","0","0","3","0","17847","18184","[object Object] | [object Object]","readiesCreatures – 2 – house | protectsCreatures – 1 – anyHouse","Soldier,Martian","Fight/Reap: Deal 2<D> to a creature. If this damage destroys that creature, purge it.",""
"Shard of Hate","Mars","AGE_OF_ASCENSION – 205","0.5","0","0","0","0","0.5","0","0","0","0","0","0","0","0","669","768","[object Object] | [object Object]","","Item,Shard","Action: Stun an enemy creature for each friendly Shard.","Forged from fear."
"Yxilx Dominator","Mars","CALL_OF_THE_ARCHONS – 205 | AGE_OF_ASCENSION – 174","1.1","0","-0.5","0","0","0","12","0","0","0","0","0","9","1","29506","30678","[object Object]","","Robot","Taunt. (This creature’s neighbors cannot be attacked unless they have taunt.)Yxilx Dominator enters play stunned. ","Core power online. Stand by for domination. "
"Zorg","Mars","CALL_OF_THE_ARCHONS – 206 | AGE_OF_ASCENSION – 191","1.4","0","0","0","0","0.5","5","0","0","0","0","0","7","0","9939","10622","[object Object] | [object Object]","","Beast","Zorg enters play stunned. Before Fight: Stun the creature Zorg fights and each of that creature’s neighbors.",""
"Zyzzix the Many","Mars","CALL_OF_THE_ARCHONS – 207","1.3","0","0","0","0","0","4","0.5","0","0","0","0","3","0","18034","18486","[object Object] | [object Object]","readiesCreatures – 2 – house | highCreatureCount – 2 – anyHouse | archivesEnemyCards – -1 – anyHouse | lowCreatureCount – -1 – anyHouse","Soldier,Martian","Fight/Reap: You may reveal a creature from your hand. If you do, archive it and Zyzzix the Many gets three +1 power counters.",""
"Biomatrix Backup","Mars","CALL_OF_THE_ARCHONS – 208","2","0","1","0","0","0","0","1","0","0","0","1","0","0","16154","17077","[object Object]","lowCreatureCount – -3 – anyHouse","","This creature gains, “Destroyed: You may put this creature into its owner's archives.” ",""
"Yxlyx Stimrager","Mars","AGE_OF_ASCENSION – 209","1.5","0","0","0","0","0.5","6","0","0","0","0","0","4","2","1257","1457","[object Object]","","Martian,Soldier","Fight: Deal 2D to a creature and move it to either flank of its controller’s battleline.",""
"Brain Stem Antenna","Mars","CALL_OF_THE_ARCHONS – 209 | AGE_OF_ASCENSION – 192","2","0","1","0","0","0","0","0","0","1","0","0","0","0","3390","3454","[object Object]","lowCreatureCount – -3 – house","","This creature gains, “After you play a Mars creature, ready this creature and for the remainder of the turn it belongs to house Mars.”",""
"Yzphyz Knowdrone","Mars","AGE_OF_ASCENSION – 210","2.3","0","0","0","0","0.5","4","1","0","0","0","0","3","1","1270","1377","[object Object] | [object Object]","archivesRandom – 2 – anyHouse","Martian,Scientist","Play: Archive a card. You may purge an archived card to stun a creature.",""
"Jammer Pack","Mars","CALL_OF_THE_ARCHONS – 210","2","1","1","0","0","0","0","0","0","0","0","1","0","0","6998","6718","[object Object]","power5OrHigherCreatures – 2 – anyHouse | lowTotalCreaturePower – -2 – anyHouse","","This creature gains, “Your opponent's keys cost +2<A>.“","“The humans make it. It’s called ‘moo-zak.’”"
"“Lion” Bautrem","Sanctum","AGE_OF_ASCENSION – 211","1.7999999999999998","0","0","0","0","0","14","0","0","0","0","0","4","1","11848","12486","[object Object] | [object Object] | [object Object]","","Human,Knight","Deploy. (This creature can enter play anywhere in your battleline.)“Lion” Bautrem’s neighbors get +2 power.",""
"Begone!","Sanctum","CALL_OF_THE_ARCHONS – 212 | AGE_OF_ASCENSION – 250","1.5","0","1","0","0","0.5","0","0","0","0","0","0","0","0","3282","3232","","","","Play: Choose one: destroy each Dis creature, or gain 1<A>.",""
"Abond the Armorsmith","Sanctum","AGE_OF_ASCENSION – 212","0.9","0","0","0","0","0","5","0","0","0","0","0","3","0","11141","11464","[object Object] | [object Object]","","Human","Other friendly creatures get +1 armor.Action: For the remainder of the turn, other friendly creatures get +1 armor.",""
"Blinding Light","Sanctum","CALL_OF_THE_ARCHONS – 213 | AGE_OF_ASCENSION – 214","2","0","1","0","0","1","0","0","0","0","0","1","0","0","33418","31644","[object Object]","","","Play: Choose a house. Stun each creature of that house.",""
"Aubade the Grim","Sanctum","AGE_OF_ASCENSION – 213","2.9","2","0","0","0","0","5","0","0","0","0","0","4","1","13726","13165","[object Object] | [object Object]","protectsCreatures – 1 – anyHouse","Knight,Spirit","Play: Capture 3A.Reap: Discard 1A from Aubade the Grim.",""
"Charge!","Sanctum","CALL_OF_THE_ARCHONS – 214","1.75","0","1","0","0","0.75","0","0","0","0","0","1","0","0","2169","1987","[object Object] | [object Object]","highCreatureCount – 3 – house | lowCreatureCount – -1 – house","","Play: For the remainder of the turn, each creature you play gains, “Play: Deal 2<D> to an enemy creature.”",""
"Cleansing Wave","Sanctum","CALL_OF_THE_ARCHONS – 215","1.5","0","1.5","0","0","0","0","0","0","0","0","0","0","0","19393","18784","[object Object]","highTotalCreaturePower – 3 – house | damagesMultipleEnemies – 1 – anyHouse | damagesFriendlyCreatures – 1 – anyHouse | lowTotalCreaturePower – -2 – house","","Play: Heal 1 damage from each creature. Gain 1<A> for each creature healed this way.",""
"Bordan the Redeemed","Sanctum","AGE_OF_ASCENSION – 215","1.9","1","0","0","0","0","5","0","0","0","0","0","3","0","10838","11580","[object Object]","","Human,Thief","Elusive. (The first time this creature is attacked each turn, no damage is dealt.)Action: Capture 2A.","“Redemption is a journey, not a destination.”"
"Clear Mind","Sanctum","CALL_OF_THE_ARCHONS – 216","1.25","0","1","0","0","0","0","0","0","0","0.25","1","0","0","2548","2422","","","","Play: Unstun each friendly creature.","Thy body is an illusion. Only thy spirit is eternal."
"Challe the Safeguard","Sanctum","AGE_OF_ASCENSION – 216","1.4","0","0","0","0","0","10","0","0","0","0","0","4","2","11678","12039","[object Object] | [object Object]","","Human,Knight","Deploy. (This creature can enter play anywhere in your battleline.)Taunt. (This creature’s neighbors cannot be attacked unless they have taunt.)",""
"Doorstep to Heaven","Sanctum","CALL_OF_THE_ARCHONS – 217 | AGE_OF_ASCENSION – 231","3","2","1","0","0","0","0","0","0","0","0","1","0","0","15488","13867","","capturesAmber – 2 – house | increasesKeyCost – 2 – anyHouse","","Play: Each player with 6<A> or more is reduced to 5<A>.","The cities of the Sanctum are safe, clean, and vibrant like few others on the Crucible. But few are judged worthy to enter."
"Golden Aura","Sanctum","AGE_OF_ASCENSION – 217","1.3","0","0","0","0","0.5","3","0","0","0.5","0","0","0","0","10054","11007","[object Object] | [object Object] | [object Object]","highTotalCreaturePower – 2 – anyHouse","","Play: Choose a creature. Fully heal the chosen creature. For the remainder of the turn, the chosen creature is considered to be in house Sanctum and cannot be dealt damage.",""
"Glorious Few","Sanctum","CALL_OF_THE_ARCHONS – 218","2","0","2","0","0","0","0","0","0","0","0","0","0","0","7611","7265","","lowCreatureCount – 3 – anyHouse | stuns – 1 – anyHouse | highCreatureCount – -3 – anyHouse","","Play: For each creature your opponent controls in excess of you, gain 1<A>.",""
"Hallowed Shield","Sanctum","AGE_OF_ASCENSION – 218","0.5","0","0","0","0","0","5","0","0","0","0","0","0","0","9797","10981","[object Object]","highTotalCreaturePower – 2 – house | causesFighting – 1 – house | usesCreaturesOutOfHouse – 1 – house | lowCreatureCount – -1 – house","Item","Action: Choose a creature. For the remainder of the turn, the chosen creature cannot be dealt damage.",""
"Healing Blast","Sanctum","AGE_OF_ASCENSION – 219","1.7","0","1.5","0","0","0","2","0","0","0","0","1","0","0","10437","10774","[object Object]","power5OrHigherCreatures – 2 – anyHouse | increasesCreaturePower – 1 – anyHouse","","Play: Fully heal a creature. If you healed 4 or more damage this way, gain 2A.",""
"Honorable Claim","Sanctum","CALL_OF_THE_ARCHONS – 219","2","1","1","0","0","0","0","0","0","0","0","1","0","0","2548","2298","[object Object]","knight – 3 – anyHouse","","Play: Each friendly Knight creature captures 1<A>.","“As your spirit is holy, so æmber, which is the spirit of the earth, is holy.” - The Sanctified Scroll"
"Inspiration","Sanctum","CALL_OF_THE_ARCHONS – 220","1","0","1","0","0","0","0","0","0","0","0","0","0","0","19791","19108","","goodReap – 2 – anyHouse | goodAction – 2 – anyHouse","","Play: Ready and use a friendly creature.","“The Sanctum gives meaning to my life.” - Duma the Martyr"
"Maruck the Marked","Sanctum","AGE_OF_ASCENSION – 220","1.5","0.5","0","0","0","0","6","0","0","0","0","0","5","1","11851","12166","[object Object]","addsArmor – 2 – anyHouse | damagesFriendlyCreatures – 1 – anyHouse","Knight,Spirit","After Maruck the Marked prevents damage with its armor, capture 1A for each damage just prevented.","What weapon can scar a being of pure light?"
"Mighty Lance","Sanctum","CALL_OF_THE_ARCHONS – 221 | AGE_OF_ASCENSION – 256","1.5","0","0","0","0","1.5","0","0","0","0","0","0","0","0","3393","3433","[object Object] | [object Object]","","","Play: Deal 3<D> to a creature and 3<D> to a neighbor of that creature.",""
"Protect the Weak","Sanctum","CALL_OF_THE_ARCHONS – 265 | AGE_OF_ASCENSION – 221","1.3","0","1","0","0","0","3","0","0","0","0","1","0","0","29468","29568","[object Object] | [object Object]","highCreatureCount – 1 – anyHouse | lowCreatureCount – -1 – anyHouse","","This creature gets +1 armor and gains taunt. (This creature’s neighbors cannot be attacked unless they have taunt.)",""
"Sir Marrows","Sanctum","AGE_OF_ASCENSION – 223","1.5","0.5","0","0","0","0","6","0","0","0","0","0","4","2","11939","12263","[object Object]","","Human,Knight","After your opponent gains A by reaping, Sir Marrows captures it.","“All Æmber is ours by right.”"
"Smite","Sanctum","AGE_OF_ASCENSION – 224","1","0","0","0","0","1","0","0","0","0","0","0","0","0","10790","11368","[object Object]","goodFight – 2 – anyHouse","","Play: Ready and fight with a friendly creature. Deal 2D to the attacked creature’s neighbors.",""
"Shield of Justice","Sanctum","CALL_OF_THE_ARCHONS – 225 | AGE_OF_ASCENSION – 222","1.5","0","1","0","0","0","5","0","0","0","0","1","0","0","29629","30046","[object Object]","highTotalCreaturePower – 2 – house | causesFighting – 1 – house | usesCreaturesOutOfHouse – 1 – house | lowCreatureCount – -1 – house","","Play: For the remainder of the turn, each friendly creature cannot be dealt damage.",""
"Take Hostages","Sanctum","CALL_OF_THE_ARCHONS – 226 | AGE_OF_ASCENSION – 225","1.5","0.5","1","0","0","0","0","0","0","0","0","1","0","0","29002","29415","[object Object]","highTotalCreaturePower – 1 – house | causesFighting – 1 – house | usesCreaturesOutOfHouse – 1 – house","","Play: For the remainder of the turn, each time a friendly creature fights,it captures 1A.",""
"The Grey Rider","Sanctum","AGE_OF_ASCENSION – 226","2.6","0","0","0","0","0.5","2","0","0","1.5","0","0","2","0","12427","12681","[object Object] | [object Object] | [object Object]","goodFight – 2 – anyHouse | preventsDamage – 2 – house","Human,Monk","Deploy. (This creature can enter play anywhere in your battleline.)Play/Fight/Reap: You may ready and fight with a neighboring creature.",""
"Terms of Redress","Sanctum","CALL_OF_THE_ARCHONS – 227","2","1","1","0","0","0","0","0","0","0","0","1","0","0","21455","19796","[object Object]","power5OrHigherCreatures – 1 – anyHouse","","Play: Choose a friendly creature to capture 2<A>.","“Thou shalt wear pants.”"
"Baron Mengevin","Sanctum","AGE_OF_ASCENSION – 227","1.6","0.5","0","0","0","0","7","0","0","0","0","0","6","1","4332","4475","","discardsFriendlyCards – 2 – anyHouse","Human,Knight","After you discard a Sanctum card from your hand, Baron Mengevin captures 1A.",""
"The Harder They Come","Sanctum","CALL_OF_THE_ARCHONS – 228 | AGE_OF_ASCENSION – 245","1","0","0","0","0","1","0","0","0","0","0","0","0","0","11241","11236","","","","Play: Purge a creature with power 5 or higher.",""
"Barrister Joya","Sanctum","AGE_OF_ASCENSION – 228","2.5","1.5","0","0","0","0","6","0","0","0","0","0","5","1","4901","4730","","","Human,Knight","Enemy creatures cannot reap.","“A righteous law will enforce itself.”"
"The Spirit’s Way","Sanctum","CALL_OF_THE_ARCHONS – 229 | AGE_OF_ASCENSION – 246","1.5","0","0","0","0","1.5","0","0","0","0","0","0","0","0","11748","11436","[object Object] | [object Object]","power2OrLowerCreatures – 3 – anyHouse | increasesCreaturePower – -1 – anyHouse | power3OrHigherCreatures – -3 – anyHouse","","Play: Destroy each creature with power 3 or higher.","“The spirit is eternal. The flesh is weak. Let go the flesh, for your earthly strength is the greatest prison.” - The Last Book"
"Brobnar Ambassador","Sanctum","AGE_OF_ASCENSION – 229","1.25","0","0","0","0","0","1","0.5","0","0.25","0","0","1","0","732","792","[object Object]","","Human","Elusive. (The first time this creature is attacked each turn, no damage is dealt.)Fight/Reap: You may play or use a Brobnar card this turn.","“Greetings! I bring rad tidings.”"
"Virtuous Works","Sanctum","CALL_OF_THE_ARCHONS – 230","3","0","3","0","0","0","0","0","0","0","0","3","0","0","11514","9574","","","","(Vanilla)","On the Crucible, there is no sanctimony. There is only Sanctumony."
"Dis Ambassador","Sanctum","AGE_OF_ASCENSION – 230","1.25","0","0","0","0","0","1","0.5","0","0.25","0","0","1","0","726","858","[object Object]","","Human","Elusive. (The first time this creature is attacked each turn, no damage is dealt.)Fight/Reap: You may play or use a Dis card this turn.","“Greetings! I bring bad tidings.”"
"Equalize","Sanctum","AGE_OF_ASCENSION – 232","1.5","0","1","0","0","0","0","0","0","0","0.5","1","0","0","3878","4186","","capturesAmber – 1 – anyHouse | capturesAmberOnEnemies – 1 – anyHouse","","Play: Redistribute the A on friendly creatures among friendly creatures. Then, redistribute the A on enemy creatures among enemy creatures.",""
"Free Markets","Sanctum","AGE_OF_ASCENSION – 233","2","0","2","0","0","0","0","0","0","0","0","0","0","0","4444","4280","","","","Play: Gain 1A (to a maximum of 6) for each house represented among cards in play, except for Sanctum.",""
"Hallowed Blaster","Sanctum","CALL_OF_THE_ARCHONS – 233","0.2","0","0","0","0","0","2","0","0","0","0","0","0","0","16317","16898","[object Object] | [object Object]","highTotalCreaturePower – 1 – anyHouse","Weapon","Action: Heal 3 damage from a creature.","Swords into plowshares is thinking too small."
"Potion of Invulnerability","Sanctum","CALL_OF_THE_ARCHONS – 234 | AGE_OF_ASCENSION – 239","1.7","0","1","0","0","0","7","0","0","0","0","1","0","0","11284","11181","[object Object] | [object Object]","damagesFriendlyCreatures – 3 – anyHouse | highTotalCreaturePower – 2 – anyHouse | goodFight – 2 – anyHouse | lowTotalCreaturePower – -2 – anyHouse","Item","Omni: Sacrifice Potion of Invulnerability. For the remainder of the turn, each friendly creature cannot be dealt damage.",""
"Gorm of Omm","Sanctum","CALL_OF_THE_ARCHONS – 232 | AGE_OF_ASCENSION – 235","1.5","0","0","0","1.5","0","0","0","0","0","0","0","0","0","11028","11465","[object Object] | [object Object]","","Item","Omni: Sacrifice Gorm of Omm. Destroy an artifact.","“An object, no matter how sacred, is just a thing.”"
"Round Table","Sanctum","CALL_OF_THE_ARCHONS – 235","1.4","0","1","0","0","0","4","0","0","0","0","1","0","0","2460","2248","[object Object]","knight – 3 – anyHouse","Location","Each friendly Knight creature gets +1 power and gains taunt.","“Come my friends, let us ready for battle.” –King Godfrey Greywind"
"Haedroth’s Wall","Sanctum","AGE_OF_ASCENSION – 236","0.8","0","0","0","0","0","8","0","0","0","0","0","0","0","4035","4339","[object Object] | [object Object]","","Location","Each friendly flank creature gets +2 power.","Order. This is the Sanctum’s promise."
"Whispering Reliquary","Sanctum","CALL_OF_THE_ARCHONS – 237","1","0","0","0","0.5","0","0","0","0.5","0","0","0","0","0","7027","6794","[object Object] | [object Object]","","Item","Action: Return an artifact to its owner's hand.",""
"Logos Ambassador","Sanctum","AGE_OF_ASCENSION – 237","1.25","0","0","0","0","0","1","0.5","0","0.25","0","0","1","0","739","823","[object Object]","","Human","Elusive. (The first time this creature is attacked each turn, no damage is dealt.)Fight/Reap: You may play or use a Logos card this turn.","“Greetings! I bring glad tidings.”"
"Bulwark","Sanctum","CALL_OF_THE_ARCHONS – 238","1.4","0","0","0","0","0","10","0","0","0","0","0","4","2","22590","21515","[object Object] | [object Object]","damagesFriendlyCreatures – 2 – anyHouse","Human,Knight","Each of Bulwark’s neighbors gets +2 armor.","“Let me be thy shield.”"
"Mars Ambassador","Sanctum","AGE_OF_ASCENSION – 238","1.25","0","0","0","0","0","1","0.5","0","0.25","0","0","1","0","671","721","[object Object]","","Human","Elusive. (The first time this creature is attacked each turn, no damage is dealt.)Fight/Reap: You may play or use a Mars card this turn.","“Greetings! I bring mad tidings.”"
"Champion Anaphiel","Sanctum","CALL_OF_THE_ARCHONS – 239","1.3","0","0","0","0","0","9","0","0","0","0","0","6","1","22908","21295","[object Object]","","Knight,Spirit","Taunt. (This creature’s neighbors cannot be attacked unless they have taunt.)","“Steel thyself, Knave. To harm them you must first defeat me.”"
"Champion Tabris","Sanctum","CALL_OF_THE_ARCHONS – 240","1.7000000000000002","0.5","0","0","0","0","8","0","0","0","0","0","6","2","8867","8046","[object Object]","","Human,Knight","Fight: Capture 1<A>.","“All my skill in battle brings me not one step closer to Enlightenment.”"
"Prince Derric, Unifier","Sanctum","AGE_OF_ASCENSION – 240","1.9","0","1","0","0","0","5","0","0","0","0","0","4","1","4251","4375","[object Object]","highTotalCreaturePower – 2 – anyHouse","Human,Knight","Play: Gain 3A if you control creatures from 3 different houses.","“Ah, excellent! My father will be pleased.”"
"Radiant Truth","Sanctum","CALL_OF_THE_ARCHONS – 224 | AGE_OF_ASCENSION – 241","1.5","0","1","0","0","0.5","0","0","0","0","0","1","0","0","11329","11195","[object Object]","","","Play: Stun each enemy creature not on a flank.","“Truly I say to you: pie is superior to cake.” – from the Ravings of The Prophet Gizelhart"
"Commander Remiel","Sanctum","CALL_OF_THE_ARCHONS – 241","1.2000000000000002","0","0","0","0","0","3","0","0","0.5","0","0","3","0","20388","19777","[object Object] | [object Object]","protectsCreatures – 2 – anyHouse | goodReap – 2 – outOfHouse | goodAction – 2 – outOfHouse","Human,Knight","Reap: Use a friendly non-Sanctum creature.","“I was not always a knight. Perhaps, someday, you will stand where I stand and see what I see.” "
"Rothais the Fierce","Sanctum","AGE_OF_ASCENSION – 242","1.7999999999999998","0","0","0","0","0","14","0","0","0","0","0","4","2","4314","4527","[object Object]","","Human,Knight","Taunt. (This creature’s neighbors cannot be attacked unless they have taunt.)Hazardous 4. (Before this creature is attacked, deal 4D to the attacking enemy.)","“Verily, I say unto thee; bring it on.”"
"Francus","Sanctum","CALL_OF_THE_ARCHONS – 243","1.6","0.5","0","0","0","0","7","0","0","0","0","0","6","1","8177","7742","[object Object]","","Knight,Spirit","After an enemy creature is destroyed fighting Francus, Francus captures 1<A>.",""
"Shadows Ambassador","Sanctum","AGE_OF_ASCENSION – 243","1.25","0","0","0","0","0","1","0.5","0","0.25","0","0","1","0","850","812","[object Object]","","Human","Elusive. (The first time this creature is attacked each turn, no damage is dealt.)Fight/Reap: You may play or use a Shadows card this turn.","“Greetings! I bring… Hello?”"
"Sigil of Brotherhood","Sanctum","CALL_OF_THE_ARCHONS – 236 | AGE_OF_ASCENSION – 244","2","0","1","0","0","0","0","0","0","1","0","1","0","0","13020","12072","[object Object]","highCreatureCount – 3 – house","Power","Omni: Sacrifice Sigil of Brotherhood. For the remainder of the turn, you may use friendly Sanctum creatures.",""
"Grey Monk","Sanctum","CALL_OF_THE_ARCHONS – 244","1","0","0","0","0","0","6","0","0","0","0","0","3","0","7866","7431","[object Object] | [object Object] | [object Object]","damagesFriendlyCreatures – 2 – anyHouse | highTotalCreaturePower – 2 – anyHouse","Human,Priest","Each friendly creature gets +1 armor. Reap: Heal 2 damage from a creature.",""
